window_id,section_id,date,day_offset,start_hour,end_hour,duration_hours,traffic_density_tier,passenger_trains_affected,is_available
WIN-SEC-004-4-105,SEC-004,2026-09-19,3,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-005-4-106,SEC-005,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-005-4-107,SEC-005,2026-09-19,3,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-006-4-108,SEC-006,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-006-4-109,SEC-006,2026-09-19,3,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-007-4-110,SEC-007,2026-09-19,3,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-007-4-111,SEC-007,2026-09-19,3,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-008-4-112,SEC-008,2026-09-19,3,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-008-4-113,SEC-008,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-008-4-114,SEC-008,2026-09-19,3,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-009-4-115,SEC-009,2026-09-19,3,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-009-4-116,SEC-009,2026-09-19,3,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-009-4-117,SEC-009,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-010-4-118,SEC-010,2026-09-19,3,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-010-4-119,SEC-010,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-011-4-120,SEC-011,2026-09-19,3,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-011-4-121,SEC-011,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-012-4-122,SEC-012,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-012-4-123,SEC-012,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-012-4-124,SEC-012,2026-09-19,3,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-001-5-125,SEC-001,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-001-5-126,SEC-001,2026-09-20,4,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-001-5-127,SEC-001,2026-09-20,4,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-002-5-128,SEC-002,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-002-5-129,SEC-002,2026-09-20,4,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-002-5-130,SEC-002,2026-09-20,4,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-003-5-131,SEC-003,2026-09-20,4,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-003-5-132,SEC-003,2026-09-20,4,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-003-5-133,SEC-003,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-004-5-134,SEC-004,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-004-5-135,SEC-004,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-004-5-136,SEC-004,2026-09-20,4,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-005-5-137,SEC-005,2026-09-20,4,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-005-5-138,SEC-005,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-006-5-139,SEC-006,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-006-5-140,SEC-006,2026-09-20,4,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-007-5-141,SEC-007,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-007-5-142,SEC-007,2026-09-20,4,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-008-5-143,SEC-008,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-008-5-144,SEC-008,2026-09-20,4,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-008-5-145,SEC-008,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-009-5-146,SEC-009,2026-09-20,4,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-009-5-147,SEC-009,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-009-5-148,SEC-009,2026-09-20,4,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-010-5-149,SEC-010,2026-09-20,4,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-010-5-150,SEC-010,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-011-5-151,SEC-011,2026-09-20,4,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-011-5-152,SEC-011,2026-09-20,4,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-5-153,SEC-012,2026-09-20,4,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-012-5-154,SEC-012,2026-09-20,4,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-012-5-155,SEC-012,2026-09-20,4,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-001-6-156,SEC-001,2026-09-21,5,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-001-6-157,SEC-001,2026-09-21,5,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-001-6-158,SEC-001,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-002-6-159,SEC-002,2026-09-21,5,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-002-6-160,SEC-002,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-002-6-161,SEC-002,2026-09-21,5,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-003-6-162,SEC-003,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-003-6-163,SEC-003,2026-09-21,5,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-003-6-164,SEC-003,2026-09-21,5,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-004-6-165,SEC-004,2026-09-21,5,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-004-6-166,SEC-004,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-004-6-167,SEC-004,2026-09-21,5,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-005-6-168,SEC-005,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-005-6-169,SEC-005,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-006-6-170,SEC-006,2026-09-21,5,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-006-6-171,SEC-006,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-007-6-172,SEC-007,2026-09-21,5,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-007-6-173,SEC-007,2026-09-21,5,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-008-6-174,SEC-008,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-008-6-175,SEC-008,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-008-6-176,SEC-008,2026-09-21,5,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-009-6-177,SEC-009,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-009-6-178,SEC-009,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-009-6-179,SEC-009,2026-09-21,5,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-010-6-180,SEC-010,2026-09-21,5,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-010-6-181,SEC-010,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-011-6-182,SEC-011,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-011-6-183,SEC-011,2026-09-21,5,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-6-184,SEC-012,2026-09-21,5,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-012-6-185,SEC-012,2026-09-21,5,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-012-6-186,SEC-012,2026-09-21,5,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-001-7-187,SEC-001,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-001-7-188,SEC-001,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-001-7-189,SEC-001,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-002-7-190,SEC-002,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-002-7-191,SEC-002,2026-09-22,6,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-002-7-192,SEC-002,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-003-7-193,SEC-003,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-003-7-194,SEC-003,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-003-7-195,SEC-003,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-004-7-196,SEC-004,2026-09-22,6,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-004-7-197,SEC-004,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-004-7-198,SEC-004,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-005-7-199,SEC-005,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-005-7-200,SEC-005,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-006-7-201,SEC-006,2026-09-22,6,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-006-7-202,SEC-006,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-007-7-203,SEC-007,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-007-7-204,SEC-007,2026-09-22,6,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-008-7-205,SEC-008,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-008-7-206,SEC-008,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-008-7-207,SEC-008,2026-09-22,6,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-009-7-208,SEC-009,2026-09-22,6,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-009-7-209,SEC-009,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-009-7-210,SEC-009,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-010-7-211,SEC-010,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-010-7-212,SEC-010,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-011-7-213,SEC-011,2026-09-22,6,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-011-7-214,SEC-011,2026-09-22,6,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-7-215,SEC-012,2026-09-22,6,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-012-7-216,SEC-012,2026-09-22,6,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-012-7-217,SEC-012,2026-09-22,6,23.5,2.5,3.0,Low (Night Lull),1,True
