history_id,department,severity,tier,days_overdue,safety_risk_flag,punctuality_impact_score,requested_duration_hours,granted_duration_hours,was_consolidated,actual_incident_avoided,ground_truth_priority
HIST-00094,S&T,Critical,Tier-3 Branch,24,1,42,2.6,2.7,0,1,78.7
HIST-00095,Engineering,Major,Tier-1 Trunk,11,1,48,3.2,1.5,0,1,78.7
HIST-00096,Engineering,Major,Tier-1 Trunk,21,1,48,2.1,2.6,0,1,87.4
HIST-00097,Traction,Major,Tier-3 Branch,14,0,50,4.0,1.7,0,0,41.6
HIST-00098,Traction,Minor,Tier-1 Trunk,12,0,40,1.8,2.0,0,0,41.3
HIST-00099,S&T,Major,Tier-3 Branch,21,1,31,3.4,1.1,1,0,64.6
HIST-00100,Traction,Minor,Tier-1 Trunk,25,0,32,2.0,1.5,0,0,41.7
HIST-00101,S&T,Minor,Tier-2 Main,4,0,16,2.3,2.1,1,0,24.8
HIST-00102,Engineering,Critical,Tier-1 Trunk,23,1,83,1.9,1.3,1,1,96.2
HIST-00103,Traction,Major,Tier-3 Branch,5,1,91,3.7,3.0,0,0,65.1
HIST-00104,Engineering,Minor,Tier-1 Trunk,21,0,35,3.9,3.0,0,1,43.1
HIST-00105,Traction,Critical,Tier-2 Main,14,1,77,3.0,3.1,0,1,84.2
HIST-00106,Engineering,Major,Tier-1 Trunk,19,0,71,3.8,1.6,0,0,53.8
HIST-00107,Traction,Minor,Tier-1 Trunk,13,0,17,2.3,2.2,0,1,41.0
HIST-00108,S&T,Critical,Tier-1 Trunk,21,1,83,3.0,2.8,0,1,100.0
HIST-00109,S&T,Critical,Tier-1 Trunk,13,1,65,2.6,3.4,0,1,94.3
HIST-00110,Engineering,Minor,Tier-1 Trunk,20,0,32,1.7,1.7,0,0,43.7
HIST-00111,Traction,Critical,Tier-1 Trunk,20,1,32,4.0,3.0,0,1,95.3
HIST-00112,Engineering,Minor,Tier-2 Main,18,0,23,3.5,1.6,0,0,34.4
HIST-00113,S&T,Critical,Tier-3 Branch,4,1,46,1.8,3.2,0,1,63.5
HIST-00114,Engineering,Major,Tier-1 Trunk,8,1,83,2.8,2.9,0,1,78.6
HIST-00115,Traction,Minor,Tier-2 Main,3,0,38,1.6,3.0,1,0,17.2
HIST-00116,Traction,Major,Tier-1 Trunk,15,0,84,3.2,2.2,0,1,55.3
HIST-00117,Engineering,Major,Tier-1 Trunk,4,1,71,2.2,2.3,0,1,72.8
HIST-00118,Engineering,Minor,Tier-1 Trunk,20,0,45,3.3,1.5,0,0,46.8
HIST-00119,Traction,Major,Tier-1 Trunk,13,0,70,2.4,1.4,0,1,49.1
HIST-00120,Engineering,Critical,Tier-1 Trunk,23,1,77,3.5,2.4,1,1,99.3
HIST-00121,S&T,Major,Tier-2 Main,13,1,84,3.9,2.5,0,1,78.5
HIST-00122,Engineering,Major,Tier-1 Trunk,21,0,43,2.4,2.4,0,0,51.4
HIST-00123,S&T,Critical,Tier-1 Trunk,17,1,33,3.2,1.1,0,1,89.1
HIST-00124,S&T,Minor,Tier-3 Branch,11,0,10,2.0,1.4,1,0,17.5
HIST-00125,Engineering,Minor,Tier-3 Branch,2,0,43,2.4,1.9,1,0,16.5
HIST-00126,S&T,Major,Tier-3 Branch,4,1,36,3.2,1.7,1,0,59.3
HIST-00127,S&T,Major,Tier-1 Trunk,24,0,74,3.2,2.2,1,0,55.6
HIST-00128,Engineering,Major,Tier-2 Main,0,1,57,3.4,2.9,0,0,63.6
HIST-00129,Engineering,Major,Tier-1 Trunk,4,1,59,3.5,1.2,1,1,69.4
HIST-00130,Engineering,Major,Tier-1 Trunk,10,0,81,3.3,2.0,0,0,51.1
HIST-00131,Traction,Critical,Tier-3 Branch,14,1,76,2.1,2.5,1,1,82.9
HIST-00132,Engineering,Major,Tier-1 Trunk,10,1,51,1.7,2.6,1,1,80.6
HIST-00133,S&T,Critical,Tier-2 Main,11,1,48,2.0,2.5,1,1,80.7
HIST-00134,Engineering,Critical,Tier-2 Main,15,1,89,3.4,2.9,0,1,89.3
HIST-00135,S&T,Minor,Tier-2 Main,20,0,30,1.9,1.2,0,0,37.3
HIST-00136,Traction,Major,Tier-1 Trunk,2,1,87,1.6,1.9,0,1,72.7
HIST-00137,Engineering,Major,Tier-3 Branch,2,0,94,3.9,2.8,0,0,28.5
HIST-00138,S&T,Major,Tier-1 Trunk,15,0,37,2.6,3.0,0,0,52.9
HIST-00139,Engineering,Major,Tier-1 Trunk,7,0,86,2.4,3.3,0,0,45.8
HIST-00140,Traction,Major,Tier-1 Trunk,20,0,38,2.3,2.4,0,1,53.3
HIST-00141,S&T,Minor,Tier-3 Branch,19,0,19,1.9,1.9,1,0,25.2
HIST-00142,Traction,Critical,Tier-2 Main,2,1,69,2.9,2.6,0,1,78.4
HIST-00143,Engineering,Major,Tier-2 Main,23,0,41,2.4,1.9,0,0,44.5
HIST-00144,Traction,Minor,Tier-1 Trunk,7,0,18,1.9,1.7,0,0,30.3
HIST-00145,S&T,Minor,Tier-3 Branch,1,0,31,3.0,1.4,0,0,16.4
HIST-00146,S&T,Minor,Tier-1 Trunk,14,0,12,2.5,2.7,0,0,35.0
HIST-00147,S&T,Major,Tier-2 Main,14,1,60,2.7,3.1,0,1,72.5
HIST-00148,S&T,Minor,Tier-3 Branch,14,0,28,3.4,2.3,0,0,28.2
HIST-00149,Engineering,Minor,Tier-1 Trunk,8,0,13,2.9,1.3,1,0,29.5
HIST-00150,Traction,Critical,Tier-1 Trunk,14,1,95,1.9,2.1,0,1,91.8
HIST-00151,Traction,Minor,Tier-3 Branch,13,0,13,2.5,1.2,0,1,19.8
HIST-00152,Engineering,Minor,Tier-2 Main,25,0,19,1.8,1.7,0,0,35.4
HIST-00153,Engineering,Minor,Tier-1 Trunk,19,0,10,2.0,1.4,1,0,41.4
HIST-00154,Traction,Critical,Tier-1 Trunk,9,1,45,1.6,2.0,1,1,86.4
HIST-00155,Traction,Critical,Tier-2 Main,15,1,32,3.3,1.7,0,1,80.0
HIST-00156,S&T,Major,Tier-2 Main,5,0,40,2.8,1.9,1,0,32.6
HIST-00157,S&T,Major,Tier-1 Trunk,15,1,79,1.5,3.0,0,1,86.8
HIST-00158,Engineering,Minor,Tier-2 Main,24,0,31,1.8,1.9,0,0,34.9
HIST-00159,Engineering,Minor,Tier-2 Main,22,0,40,1.7,2.9,0,1,32.9
HIST-00160,Engineering,Critical,Tier-1 Trunk,1,1,70,3.8,2.3,1,1,79.4
HIST-00161,Traction,Major,Tier-2 Main,6,1,36,1.8,1.9,0,0,66.9
HIST-00162,Traction,Major,Tier-1 Trunk,22,0,64,3.5,2.8,0,0,54.7
HIST-00163,Engineering,Major,Tier-1 Trunk,2,1,67,2.6,2.7,0,1,72.1
HIST-00164,Traction,Critical,Tier-3 Branch,11,1,85,2.2,3.5,0,1,80.5
HIST-00165,Engineering,Major,Tier-1 Trunk,16,0,50,3.0,3.0,0,1,54.1
HIST-00166,Engineering,Minor,Tier-1 Trunk,12,0,12,3.0,2.7,0,0,35.4
HIST-00167,Engineering,Major,Tier-2 Main,12,1,65,3.3,2.2,0,1,73.1
HIST-00168,S&T,Critical,Tier-2 Main,22,1,87,2.0,2.5,1,1,91.9
HIST-00169,Traction,Critical,Tier-1 Trunk,2,1,87,4.0,3.0,0,1,87.1
HIST-00170,S&T,Major,Tier-1 Trunk,17,1,68,3.6,2.8,1,1,88.9
HIST-00171,S&T,Critical,Tier-1 Trunk,7,1,45,2.1,2.2,0,1,89.5
HIST-00172,S&T,Major,Tier-1 Trunk,17,1,41,1.7,2.0,1,1,82.3
HIST-00173,S&T,Major,Tier-1 Trunk,13,0,39,1.7,2.2,1,0,50.8
HIST-00174,S&T,Major,Tier-1 Trunk,4,0,37,3.6,2.3,0,1,43.4
HIST-00175,Traction,Minor,Tier-1 Trunk,16,0,28,3.1,2.4,0,0,41.7
HIST-00176,S&T,Major,Tier-2 Main,5,0,49,1.9,2.6,1,0,34.3
HIST-00177,S&T,Critical,Tier-3 Branch,2,1,35,2.2,1.5,1,0,69.2
HIST-00178,S&T,Critical,Tier-3 Branch,17,1,67,3.1,1.8,0,1,78.9
HIST-00179,S&T,Major,Tier-1 Trunk,22,1,86,2.4,1.4,1,1,86.2
HIST-00180,Traction,Minor,Tier-3 Branch,12,0,18,3.4,2.3,0,0,22.8
HIST-00181,Traction,Critical,Tier-1 Trunk,4,1,42,3.7,2.0,0,1,88.1
HIST-00182,Traction,Minor,Tier-2 Main,6,0,20,2.7,2.3,0,0,25.7
HIST-00183,Traction,Critical,Tier-3 Branch,16,1,88,2.4,1.1,0,1,83.3
HIST-00184,S&T,Minor,Tier-2 Main,15,0,28,2.8,3.1,0,1,31.4
HIST-00185,Traction,Minor,Tier-2 Main,11,0,12,2.0,2.4,0,0,24.4
HIST-00186,Traction,Minor,Tier-1 Trunk,19,0,17,1.8,1.2,0,0,43.6
HIST-00187,Traction,Major,Tier-1 Trunk,4,1,95,1.6,2.8,0,1,77.1
HIST-00188,S&T,Major,Tier-2 Main,16,1,70,1.9,3.5,1,1,77.2
HIST-00189,Traction,Major,Tier-2 Main,16,0,68,2.3,1.3,0,0,46.1
HIST-00190,S&T,Minor,Tier-2 Main,19,0,40,2.2,2.6,1,0,36.1
HIST-00191,S&T,Critical,Tier-1 Trunk,16,1,78,1.6,3.4,0,1,97.9
HIST-00192,Engineering,Critical,Tier-1 Trunk,4,1,82,3.2,2.0,1,1,89.4
HIST-00193,Traction,Minor,Tier-2 Main,1,0,18,4.0,2.2,0,0,16.4
HIST-00194,Engineering,Major,Tier-2 Main,17,1,63,3.0,1.5,0,1,76.5
HIST-00195,Traction,Major,Tier-1 Trunk,9,0,56,2.7,2.4,1,1,46.7
HIST-00196,Engineering,Major,Tier-2 Main,12,0,48,2.2,1.7,1,1,38.7
HIST-00197,Traction,Major,Tier-2 Main,6,1,64,1.8,2.5,1,1,71.7
HIST-00198,Engineering,Critical,Tier-2 Main,16,1,58,3.1,1.1,0,1,84.0
HIST-00199,Traction,Minor,Tier-1 Trunk,24,0,18,3.8,2.0,0,0,45.0
HIST-00200,Engineering,Minor,Tier-1 Trunk,9,0,13,3.8,1.2,1,1,33.6
HIST-00201,S&T,Minor,Tier-3 Branch,5,0,36,3.8,3.5,0,0,18.7
HIST-00202,Engineering,Minor,Tier-3 Branch,9,0,12,1.5,2.4,0,0,17.4
HIST-00203,Traction,Major,Tier-3 Branch,17,0,47,2.0,1.3,0,0,40.0
HIST-00204,S&T,Major,Tier-1 Trunk,23,1,67,2.9,2.9,0,1,84.4
HIST-00205,S&T,Minor,Tier-3 Branch,13,0,42,1.7,3.5,0,0,23.4
HIST-00206,Engineering,Critical,Tier-1 Trunk,14,1,64,3.9,1.8,1,1,94.8
HIST-00207,S&T,Critical,Tier-2 Main,22,1,60,2.3,2.0,1,1,89.2
HIST-00208,S&T,Minor,Tier-2 Main,20,0,28,2.4,1.6,0,0,35.3
HIST-00209,Traction,Minor,Tier-2 Main,13,0,45,3.5,3.1,0,0,35.5
HIST-00210,S&T,Minor,Tier-1 Trunk,14,0,43,3.3,1.2,1,1,38.3
HIST-00211,S&T,Minor,Tier-1 Trunk,17,0,19,2.6,2.7,1,0,43.0
HIST-00212,Engineering,Minor,Tier-1 Trunk,1,0,39,1.8,2.0,1,1,33.9
HIST-00213,Traction,Major,Tier-1 Trunk,0,1,30,1.6,1.9,0,0,67.9
HIST-00214,Engineering,Minor,Tier-1 Trunk,15,0,12,2.2,1.4,0,0,34.9
HIST-00215,S&T,Major,Tier-1 Trunk,12,0,78,3.2,2.3,1,0,49.7
HIST-00216,Engineering,Critical,Tier-2 Main,16,1,46,3.3,1.6,0,1,87.1
HIST-00217,Engineering,Minor,Tier-1 Trunk,23,0,44,2.1,2.2,0,1,42.2
HIST-00218,S&T,Minor,Tier-1 Trunk,21,0,36,3.0,3.3,0,1,44.7
HIST-00219,Engineering,Critical,Tier-1 Trunk,19,1,36,2.6,2.3,0,1,93.6
HIST-00220,Engineering,Major,Tier-1 Trunk,23,0,71,2.1,3.2,1,0,57.9
HIST-00221,Traction,Major,Tier-1 Trunk,18,0,52,2.7,3.4,1,0,52.7
HIST-00222,S&T,Major,Tier-1 Trunk,4,1,53,3.4,2.2,0,1,71.6
HIST-00223,Traction,Minor,Tier-1 Trunk,14,0,13,2.9,1.3,0,1,31.4
HIST-00224,Traction,Major,Tier-3 Branch,11,1,54,1.6,1.9,1,0,61.7
HIST-00225,Engineering,Critical,Tier-2 Main,23,1,57,2.3,3.4,0,1,82.7
HIST-00226,Engineering,Minor,Tier-3 Branch,3,0,40,3.8,2.7,1,1,17.1
HIST-00227,Engineering,Major,Tier-2 Main,12,0,75,3.7,2.2,1,0,43.3
HIST-00228,Traction,Minor,Tier-1 Trunk,13,0,12,2.9,1.6,0,1,38.8
HIST-00229,S&T,Minor,Tier-2 Main,13,0,28,2.4,3.1,0,0,31.5
HIST-00230,S&T,Major,Tier-2 Main,15,0,92,2.7,2.8,0,1,50.0
HIST-00231,S&T,Major,Tier-1 Trunk,17,0,37,1.7,3.0,0,0,47.6
HIST-00232,Traction,Critical,Tier-2 Main,2,1,49,1.5,2.3,0,1,72.8
HIST-00233,Engineering,Major,Tier-2 Main,19,0,92,2.5,1.0,1,1,54.3
HIST-00234,Traction,Critical,Tier-2 Main,21,1,85,3.5,3.3,0,1,90.8
HIST-00235,Engineering,Major,Tier-1 Trunk,19,0,75,2.4,2.0,1,1,57.2
HIST-00236,S&T,Critical,Tier-2 Main,2,1,34,1.7,1.9,1,1,74.5
HIST-00237,Traction,Critical,Tier-1 Trunk,5,1,40,3.5,2.4,0,1,80.3
HIST-00238,S&T,Minor,Tier-1 Trunk,22,0,40,2.2,3.3,1,0,44.0
HIST-00239,S&T,Major,Tier-1 Trunk,10,1,56,3.3,2.0,0,1,75.0
HIST-00240,Traction,Critical,Tier-1 Trunk,12,1,72,2.5,2.8,1,1,89.6
HIST-00241,S&T,Critical,Tier-2 Main,11,1,36,1.7,2.5,1,1,80.9
HIST-00242,S&T,Major,Tier-2 Main,0,0,87,2.7,1.9,0,0,36.7
HIST-00243,S&T,Major,Tier-1 Trunk,24,0,61,1.9,2.8,1,1,55.9
HIST-00244,Traction,Major,Tier-1 Trunk,0,0,86,2.4,1.7,0,1,42.6
HIST-00245,Traction,Major,Tier-2 Main,13,1,41,3.0,1.8,0,1,70.8
HIST-00246,Engineering,Major,Tier-1 Trunk,2,0,61,2.9,1.4,0,1,43.6
HIST-00247,Traction,Major,Tier-1 Trunk,2,1,65,1.7,1.6,0,1,70.6
HIST-00248,S&T,Major,Tier-2 Main,6,0,47,2.3,3.4,0,0,37.9
HIST-00249,Traction,Minor,Tier-1 Trunk,10,0,37,3.9,1.3,0,0,38.7
HIST-00250,S&T,Critical,Tier-1 Trunk,12,1,70,2.2,2.7,0,1,87.1
HIST-00251,S&T,Minor,Tier-1 Trunk,8,0,35,2.0,3.5,0,0,31.1
HIST-00252,S&T,Critical,Tier-2 Main,22,1,56,2.6,1.7,1,1,91.9
HIST-00253,Engineering,Minor,Tier-2 Main,13,0,41,2.1,1.4,0,0,32.9
HIST-00254,Engineering,Major,Tier-2 Main,18,0,94,3.8,3.2,0,0,52.4
HIST-00255,Traction,Minor,Tier-2 Main,19,0,15,3.2,1.4,1,1,35.0
HIST-00256,S&T,Major,Tier-1 Trunk,24,1,85,1.8,1.2,0,1,89.7
HIST-00257,S&T,Minor,Tier-2 Main,22,0,24,3.4,2.5,1,1,32.1
HIST-00258,Engineering,Major,Tier-1 Trunk,2,1,48,2.4,1.9,0,1,72.2
HIST-00259,S&T,Major,Tier-1 Trunk,14,0,87,3.5,1.3,0,0,54.0
HIST-00260,S&T,Minor,Tier-3 Branch,23,0,25,2.8,2.4,0,0,29.4
HIST-00261,Traction,Critical,Tier-1 Trunk,5,1,53,1.6,2.5,0,1,82.6
HIST-00262,Traction,Major,Tier-1 Trunk,22,1,65,3.4,3.0,0,1,84.4
HIST-00263,S&T,Critical,Tier-3 Branch,5,1,76,2.2,3.2,1,1,70.3
HIST-00264,S&T,Major,Tier-1 Trunk,12,0,74,2.4,2.1,0,0,54.5
HIST-00265,S&T,Minor,Tier-3 Branch,18,0,15,2.1,1.3,0,0,24.9
HIST-00266,S&T,Major,Tier-2 Main,18,1,53,2.7,2.3,1,1,74.8
HIST-00267,Engineering,Major,Tier-1 Trunk,4,1,87,3.9,2.2,0,1,73.2
HIST-00268,Traction,Minor,Tier-2 Main,15,0,36,3.2,2.0,0,0,29.2
HIST-00269,Engineering,Major,Tier-2 Main,7,1,65,3.5,2.4,0,0,69.4
HIST-00270,Engineering,Major,Tier-1 Trunk,17,0,76,2.9,2.9,1,0,58.2
HIST-00271,Engineering,Minor,Tier-1 Trunk,20,0,25,2.6,1.9,0,0,39.7
HIST-00272,Engineering,Minor,Tier-1 Trunk,25,0,32,3.7,2.5,0,1,52.3
HIST-00273,Engineering,Minor,Tier-2 Main,25,0,13,3.0,1.4,1,1,30.5
HIST-00274,S&T,Major,Tier-3 Branch,21,0,47,3.9,3.0,0,0,38.4
HIST-00275,S&T,Critical,Tier-3 Branch,7,1,48,3.4,2.7,0,1,69.3
HIST-00276,S&T,Major,Tier-1 Trunk,14,1,41,2.5,2.9,1,1,75.7
HIST-00277,Traction,Major,Tier-1 Trunk,18,1,41,3.2,1.9,0,1,83.2
HIST-00278,S&T,Major,Tier-3 Branch,6,0,71,3.6,1.8,1,1,29.2
HIST-00279,Traction,Minor,Tier-3 Branch,24,0,13,3.6,1.0,0,0,29.7
HIST-00280,Engineering,Minor,Tier-1 Trunk,22,0,18,3.7,1.8,0,1,42.8
HIST-00281,Traction,Major,Tier-1 Trunk,20,1,80,3.4,2.1,0,1,85.2
HIST-00282,S&T,Critical,Tier-1 Trunk,2,1,46,3.0,2.3,0,1,78.3
HIST-00283,Engineering,Critical,Tier-1 Trunk,3,1,84,2.1,1.2,0,1,84.8
HIST-00284,Engineering,Major,Tier-3 Branch,4,1,47,3.1,2.7,0,0,55.2
HIST-00285,Engineering,Major,Tier-1 Trunk,11,0,49,2.6,1.5,0,1,51.7
HIST-00286,Engineering,Major,Tier-1 Trunk,13,1,47,2.1,2.6,0,1,78.4
HIST-00287,S&T,Major,Tier-2 Main,9,0,33,2.3,2.3,1,1,39.6
HIST-00288,Traction,Major,Tier-1 Trunk,25,0,93,2.5,1.6,1,0,56.3
HIST-00289,S&T,Minor,Tier-1 Trunk,11,0,30,2.9,1.9,1,1,40.2
HIST-00290,Traction,Minor,Tier-2 Main,0,0,14,1.5,1.5,0,0,22.1
HIST-00291,Traction,Major,Tier-2 Main,16,0,84,2.8,2.5,0,1,47.9
HIST-00292,Engineering,Major,Tier-1 Trunk,25,1,71,2.5,2.6,1,1,86.1
HIST-00293,S&T,Major,Tier-1 Trunk,13,0,60,2.6,2.1,1,1,52.4
HIST-00294,S&T,Minor,Tier-2 Main,3,0,10,3.3,2.8,0,0,20.8
